old	new	scope	decl_files
KB_ALT	KB_OLD	global	./kernel/kstate.fi
KEY_ALT_ENTER	KEY_OLD_ENTER	global	./kernel/user/wlib.fi
KEY_ALT_LEFT	KEY_OLD_LEFT	global	./kernel/user/wlib.fi
KEY_ALT_RIGHT	KEY_OLD_RIGHT	global	./kernel/user/wlib.fi
KEY_ALT_UP	KEY_OLD_UP	global	./kernel/user/wlib.fi
KOPF	HEADER	file	./kernel/app/ksiegel.fi;./kernel/user/opk.fi
KRUME_ZEICHEN	CRUMB_CHAR	global	./kernel/user/exporte.fi
KURVE_TEILE	CURVE_TEILE	global	./kernel/vektor.fi
KURZ	SHORT	global	./kernel/user/opk.fi
K_BILD	K_IMAGE	global	./kernel/user/wlib.fi
K_LEINWAND	K_CANVAS	global	./kernel/user/wlib.fi
K_OFFEN	K_OPEN	global	./kernel/user/expakt.fi
K_PRUEF	K_CHECK	global	./lib/sync/kette.fi
LUFT	AIR	global	./kernel/user/launcher.fi
L_BIS	L_UNTIL	global	./kernel/sys.fi
MARKE	BRAND	file	./kernel/app/ksiegel.fi;./tools/haertung/kanarie.fi
MAX_HALTEN	MAX_HOLD	global	./lib/wlan/pruefgeraet.fi
MAX_RAHMEN	MAX_FRAME	file	./lib/wlan/geraet.fi;./lib/wlan/pruefgeraet.fi;./lib/wlan/verbinden.fi
MAX_RUECKEN	MAX_PUSH	global	./kernel/app/anbieter.fi
MESS_ZEILEN	MEASURE_LINES	global	./kernel/wm.fi
MIN_KOPF	MIN_HEADER	global	./lib/wlan/rahmen.fi
MOD_ALT	MOD_OLD	file	./kernel/tile.fi;./kernel/user/tiling.fi
MR_FELD	MR_FIELD	global	./kernel/user/wlib.fi
MR_FLAECHE	MR_AREA	global	./kernel/user/wlib.fi
MR_KNOPF	MR_BUTTON	global	./kernel/user/wlib.fi
M_EIGEN	M_OWN	global	./kernel/vmode.fi
M_FREI	M_FREE	global	./kernel/arch/x86_64/hv.fi
M_HERZ	M_BEAT	global	./kernel/kstate.fi
OP_AUF	OP_OPEN	global	./kernel/user/lock.fi
OP_FEHL	OP_FAIL	global	./kernel/user/lock.fi
OP_ZAHL	OP_NUM	global	./kernel/user/lock.fi
ORT_ZEICHEN	PLACE_CHAR	global	./kernel/user/exporte.fi
PB_KOPF	PB_HEADER	global	./kernel/kgui.fi
PFAD_KONTEN	PATH_ACCOUNTS	global	./kernel/app/kspeicher.fi
PLATZ_FAKTOR	SPACE_FACTOR	global	./kernel/user/ota.fi
P_FRAGE	P_ASK	global	./kernel/user/praesenz.fi
P_SETZEN	P_SET	global	./kernel/user/praesenz.fi
P_WEG	P_GONE	global	./kernel/user/praesenz.fi
Pruef	Check	global	./lib/wlan/pruefgeraet.fi
RATE_ALT	RATE_OLD	file	./kernel/ac97.fi;./kernel/hda.fi
RC_FALSCH	RC_WRONG	global	./kernel/app/konto.fi
RC_FEHLER	RC_ERROR	global	./kernel/app/konto.fi
R_SCHIRM	R_SCREEN	global	./kernel/user/settings.fi
R_ZEIT	R_TIME	global	./kernel/user/settings.fi
Rahmen	Frame	global	./kernel/app/wasm.fi
Regel	Rule	global	./lib/wlan/kanal.fi
Ruecken	Push	global	./kernel/app/anbieter.fi
SCHLUESSEL_AUS	KEY_OFF	global	./lib/wlan/geraet.fi
SCHREIBEN	WRITE	global	./kernel/app/ksiegel.fi
SHDW_AUS	SHDW_OFF	global	./kernel/user/wlibc.fi
SICH_OFFEN	SELF_OPEN	global	./lib/wlan/beacon.fi
SICH_OWE	SELF_OWE	global	./lib/wlan/beacon.fi
SICH_UEBERGANG	SELF_UEBERGANG	global	./lib/wlan/beacon.fi
SICH_WEP	SELF_WEP	global	./lib/wlan/beacon.fi
SICH_WPA	SELF_WPA	global	./lib/wlan/beacon.fi
SICH_WPA2	SELF_WPA2	global	./lib/wlan/beacon.fi
SICH_WPA3	SELF_WPA3	global	./lib/wlan/beacon.fi
SLOT_MAUS	SLOT_MOUSE	global	./kernel/modidx.fi
SW_AUF	SW_OPEN	global	./kernel/vmode.fi
SW_AUS	SW_OFF	global	./kernel/vmode.fi
SW_KAPUTT	SW_BROKEN	global	./kernel/vmode.fi
SYM_LUFT	SYM_AIR	global	./kernel/user/taskbar.fi
S_FALSCH	S_WRONG	global	./kernel/app/anbieter.fi
S_FEHLER	S_ERROR	global	./kernel/app/anbieter.fi
S_SEITE	S_PAGE	global	./kernel/fb.fi
S_TEX_EIGEN	S_TEX_OWN	global	./kernel/r3dsoft.fi
S_ZIEL	S_TARGET	global	./kernel/r3dsoft.fi
TAFEL_ZEILEN	BOARD_LINES	global	./kernel/kgui.fi
TEX_KANTE	TEX_EDGE	global	./kernel/r3dtest.fi
TW_FREI	TW_FREE	global	./kernel/user/wlib.fi
T_GRUND	T_REASON	global	./kernel/user/rechner.fi
UTS_FELD	UTS_FIELD	global	./kernel/sys.fi
UT_ASSOC_ANTWORT	UT_ASSOC_REPLY	global	./lib/wlan/rahmen.fi
UT_PROBE_ANTWORT	UT_PROBE_REPLY	global	./lib/wlan/rahmen.fi
VERL_SAGEN	VERL_SAY	global	./kernel/wm.fi
WIEDER_MAX	AGAIN_MAX	global	./kernel/usb.fi
WURZEL_FD	ROOT_FD	global	./kernel/app/wasm.fi
WURZEL_LEN	ROOT_LEN	global	./kernel/app/wasm.fi
ZEILE_GRENZE	LINE_LIMIT	global	./kernel/serial.fi
ZWEI	TWO	global	./kernel/user/rechner.fi
Z_AUS	Z_OFF	global	./lib/wlan/zustand.fi
Z_FEHLER	Z_ERROR	global	./lib/wlan/zustand.fi
Z_WEG	Z_GONE	file	./kernel/user/freunde.fi;./kernel/user/praesenz.fi
Ziel	Target	global	./kernel/app/knetz.fi
