old	new	scope	decl_files
balken	bar	global	./kernel/user/power.fi
band_von_frequenz	band_from_freq	global	./lib/wlan/kanal.fi
bar_zeilen	bar_lines	global	./kernel/grafik.fi
baue_baum	build_tree	global	./kernel/user/explorer.fi
baue_kopf	build_header	global	./kernel/user/fas.fi
baue_links	build_left	global	./kernel/user/speicher.fi
baue_pfad	build_path	global	./kernel/user/fsrv.fi
baue_rechts	build_right	global	./kernel/user/speicher.fi
baue_tabelle	build_table	global	./kernel/user/explorer.fi
baum_bauen	tree_build	global	./kernel/user/jpeg.fi
baum_gehen	tree_walk	file	./kernel/user/explorer.fi;./kernel/user/sync.fi
befehl_abmelden	cmd_logout	global	./kernel/app/konto.fi
befehl_anbieterliste	cmd_providerlist	global	./kernel/app/konto.fi
befehl_anmelden	cmd_login	global	./kernel/app/konto.fi
befehl_liste	cmd_list	global	./kernel/app/konto.fi
befehl_status	cmd_status	global	./kernel/app/konto.fi
befehl_uebergabe	cmd_handover	global	./kernel/app/konto.fi
beginn	begin	global	./lib/wlan/zustand.fi
bench_zeile	bench_line	global	./kernel/kgui.fi
bereit	ready	file	./kernel/user/fuib.fi;./lib/wlan/geraet.fi
beschnitt_aus	clip_off	global	./kernel/vektor.fi
beschnitt_pfad	clip_path	global	./kernel/vektor.fi
beschnitt_pfad_aus	clip_path_off	global	./kernel/vektor.fi
beschnitt_setzen	clip_set	global	./kernel/vektor.fi
bild	image	global	./kernel/user/wlib.fi
bild_anpassen	image_fit	global	./kernel/user/wlib.fi
bild_aus_da	img_out_present	global	./kernel/user/wlib.fi
bild_aus_weg	img_out_gone	global	./kernel/user/wlib.fi
bild_aus_x0	img_out_x0	global	./kernel/user/wlib.fi
bild_aus_x1	img_out_x1	global	./kernel/user/wlib.fi
bild_aus_y0	img_out_y0	global	./kernel/user/wlib.fi
bild_aus_y1	img_out_y1	global	./kernel/user/wlib.fi
bild_bh	image_bh	global	./kernel/user/wlib.fi
bild_bw	image_bw	global	./kernel/user/wlib.fi
bild_dreh_von	image_rot_from	global	./kernel/user/wlib.fi
bild_drehen	image_rotate	global	./kernel/user/wlib.fi
bild_h	image_h	global	./kernel/user/wlib.fi
bild_holen	image_get	global	./kernel/user/expdlg.fi
bild_laden	image_load	global	./kernel/user/desktop.fi
bild_malen	image_paint	global	./kernel/user/wlib.fi
bild_ox	image_ox	global	./kernel/user/wlib.fi
bild_oy	image_oy	global	./kernel/user/wlib.fi
bild_px	image_px	global	./kernel/user/wlib.fi
bild_py	image_py	global	./kernel/user/wlib.fi
bild_schieben	image_pan	global	./kernel/user/wlib.fi
bild_set_zoom	image_set_zoom	global	./kernel/user/wlib.fi
bild_setzen	image_set	global	./kernel/user/wlib.fi
bild_w	image_w	global	./kernel/user/wlib.fi
bild_werkzeug	image_tool	global	./kernel/user/wlib.fi
bild_zoom	image_zoom	global	./kernel/user/wlib.fi
bits_zu_f32	bits_to_f32	global	./kernel/app/wasm.fi
bits_zu_f64	bits_to_f64	global	./kernel/app/wasm.fi
block_auf	block_open	global	./kernel/user/sync.fi
block_ende	block_end	global	./kernel/app/wasm.fi
block_ende_schnell	block_end_fast	global	./kernel/app/wasm.fi
block_oeffnen	block_open	global	./lib/sync/kette.fi
bmp_lesen	bmp_read	global	./kernel/user/bild.fi
bool_zahl	bool_num	global	./kernel/kgui.fi
breit	wide	global	./kernel/user/marke_start.fi
breite	width	file	./kernel/user/bild.fi;./kernel/user/jpeg.fi;./kernel/vektor.fi
breite_zahl	width_num	global	./kernel/user/fsrw.fi
bruecke_aus	bridge_off	global	./kernel/user/settings.fi
bruecke_lesen	bridge_read	global	./kernel/user/settings.fi
buehne_aus	stage_clear	global	./kernel/wig.fi
buehne_wenn_geteilt	stage_if_split	global	./kernel/wig.fi
buehne_wenn_sperre	stage_if_lock	global	./kernel/wig.fi
bund_aus_haupt	bundle_off_main	global	./lib/sync/kette.fi
bund_gleich	bundle_eq	global	./lib/sync/kette.fi
bund_loeschen	bundle_delete	global	./lib/sync/kette.fi
bund_pruefen	bundle_check	global	./kernel/user/kbund.fi
cache_fehler	cache_error	global	./kernel/vektor.fi
cache_suchen	cache_find	global	./kernel/vektor.fi
cap_box_dick	cap_box_thick	global	./kernel/wm.fi
ccmp_kopf_bauen	ccmp_header_build	global	./lib/wlan/ccmp.fi
chat_oeffnen	chat_open	global	./kernel/user/freunde.fi
cmd_liste	cmd_list	global	./kernel/user/opk.fi
cmd_pruefen	cmd_check	global	./kernel/user/opk.fi
cmd_suchen	cmd_find	global	./kernel/user/ota.fi
cmd_zeigen	cmd_show	global	./kernel/user/ota.fi
cmd_zurueck	cmd_back	file	./kernel/user/opk.fi;./kernel/user/ota.fi
code_lesen	code_read	file	./kernel/app/wasm.fi;./lib/sync/kette.fi
code_schreiben	code_write	global	./lib/sync/kette.fi
conf_ja	conf_yes	global	./kernel/user/settings.fi
conf_laden	conf_load	global	./kernel/user/ota.fi
conf_lesen	conf_read	file	./kernel/user/launcher.fi;./kernel/user/praesenz.fi
conf_wert	conf_value	global	./kernel/user/ota.fi
conf_zahl	conf_num	global	./kernel/user/ota.fi
darf_aktiv_suchen	may_active_find	global	./lib/wlan/kanal.fi
das_lesen	it_read	global	./kernel/user/aiot.fi
das_schreiben	it_write	global	./kernel/user/aiot.fi
data_lesen	data_read	global	./kernel/app/wasm.fi
datei_her	file_fetch	global	./kernel/user/sync.fi
datei_kopieren	file_copy	global	./kernel/user/settings.fi
datei_lesen	file_read	file	./kernel/user/expdlg.fi;./kernel/user/opk.fi;./kernel/user/ota.fi;./kernel/user/settings.fi;./kernel/user/viewer.fi
datei_of	file_of	global	./kernel/user/appdir.fi
datei_schreiben	file_write	file	./kernel/user/opk.fi;./kernel/user/ota.fi;./kernel/user/settings.fi
datei_schreiben_0600	file_write_0600	global	./kernel/app/ksiegel.fi
datei_zeigen	file_show	global	./kernel/user/jarvisctl.fi
datei_zeile	file_line	global	./kernel/user/sync.fi
dateiname	filename	global	./kernel/absturz.fi
deco_titel	deco_title	global	./kernel/wm.fi
die_datei	the_file	global	./kernel/user/aiot.fi
dio_voll	dio_full	global	./kernel/user/nidx.fi
dirs_machen	dirs_make	global	./kernel/user/zip.fi
disp_eigen	disp_own	global	./kernel/kgui.fi
drag_typ_pfad	drag_type_path	global	./kernel/user/ulib.fi
drag_weg	drag_drop	file	./kernel/user/ulib.fi;./kernel/user/wlib.fi;./kernel/user/wlibc.fi
draht_neu	wire_new	global	./kernel/app/jarvisd.fi
draht_neu_https	wire_new_https	global	./kernel/app/jarvisd.fi
draht_weg	wire_gone	global	./kernel/app/jarvisd.fi
draht_zeile	wire_line	global	./kernel/app/jarvisd.fi
druck_setzen	print_set	global	./kernel/user/qs.fi
ecke_bogen	corner_arc	global	./kernel/vektor.fi
eig_groesse	own_size	global	./kernel/user/expdlg.fi
eig_zeilen	own_lines	global	./kernel/user/expdlg.fi
eigenschaften_zeigen	props_show	global	./kernel/user/explorer.fi
ein_status	in_status	global	./kernel/app/konto.fi
eine_datei	one_file	global	./kernel/user/appdir.fi
einfuegen_gross	paste_big	global	./kernel/user/speicher.fi
einfuegen_tun	paste_do	global	./kernel/user/explorer.fi
eingabe_gesehen	input_seen	global	./kernel/wm.fi
eingabe_puls	input_pulse	global	./kernel/kgui.fi
einlesen	read	global	./kernel/modul.fi
einst_holen	setting_get	global	./kernel/user/sync.fi
einst_suchen	setting_find	global	./kernel/user/sync.fi
eintrag	entry	file	./kernel/user/exporte.fi;./kernel/user/fsck.fi;./kernel/user/zip.fi;./module/ps2maus-fremd.fi;./module/ps2maus.fi
eintrag_anzahl	entry_count	global	./lib/wlan/usbchip.fi
eintrag_pid	entry_pid	global	./lib/wlan/usbchip.fi
eintrag_vid	entry_vid	global	./lib/wlan/usbchip.fi
element_lesen	elem_read	global	./kernel/app/wasm.fi
elf_legen	elf_place	global	./kernel/modul.fi
ende	end	file	./kernel/r3d.fi;./kernel/r3dsoft.fi;./kernel/user/papierkorb.fi
endet_auf	ends_with	file	./kernel/user/expdlg.fi;./kernel/user/explorer.fi;./kernel/user/expmodell.fi;./kernel/user/sync.fi
endet_auf_info	ends_with_info	global	./kernel/user/korb.fi
endet_auf_osp	ends_with_osp	global	./kernel/user/appdir.fi
eng_machen	tight_make	global	./kernel/app/jarvisd.fi
eocd_suchen	eocd_find	global	./kernel/user/zip.fi
erp_lesen	erp_read	global	./kernel/user/opk.fi
erp_schreiben	erp_write	global	./kernel/user/opk.fi
erp_zahl	erp_num	global	./kernel/user/opk.fi
erste	first	global	./kernel/zeiger.fi
erste_auswahl	first_select	global	./kernel/user/explorer.fi
erste_iface	first_iface	global	./kernel/usb.fi
etsi_regel	etsi_rule	global	./lib/wlan/kanal.fi
ex_zurueck	ex_back	global	./kernel/user/rechner.fi
export_lesen	export_read	global	./kernel/app/wasm.fi
f32_zu_bits	f32_to_bits	global	./kernel/app/wasm.fi
f64_zu_bits	f64_to_bits	global	./kernel/app/wasm.fi
familie_name_holen	family_name_get	global	./lib/wlan/usbchip.fi
farbe_an	color_on	global	./kernel/r3dsoft.fi
farbe_bei	color_at	global	./kernel/user/desktop.fi
fassung_lesen	version_read	global	./kernel/user/ota.fi
fassung_schreiben	version_write	global	./kernel/user/ota.fi
fat32_anlegen	fat32_create	global	./kernel/user/install.fi
fat_groesse	fat_size	global	./kernel/user/install.fi
fehl_bool	fail_bool	file	./kernel/app/anb_eigen.fi;./kernel/app/anb_jarvis.fi;./kernel/app/anb_xoffi.fi;./kernel/app/jarvisd.fi
fehl_conn	fail_conn	global	./kernel/app/jarvisd.fi
fehl_len	fail_len	global	./kernel/app/jarvisd.fi
fehler	err	file	./kernel/user/bild.fi;./kernel/user/install.fi;./kernel/user/jpeg.fi;./kernel/user/opk.fi;./kernel/user/ota.fi
fehler_schluessel	error_key	global	./kernel/user/expakt.fi
fehler_zeigen	error_show	global	./kernel/user/explorer.fi
feld	field	file	./kernel/app/kjson.fi;./kernel/user/ota.fi
feld_frei	field_free	global	./kernel/app/kjson.fi
feld_gleich	field_eq	file	./kernel/user/appdir.fi;./kernel/user/locate.fi
feld_holen	field_get	global	./kernel/app/kspeicher.fi
feld_ohne_text	field_without_text	global	./kernel/user/taskbar.fi
feld_zahl	field_num	global	./kernel/user/settings.fi
fest_schreiben	commit_write	file	./kernel/ab.fi;./kernel/dispsave.fi;./kernel/user/opk.fi;./kernel/user/ota.fi
find_wort	find_word	global	./kernel/kmain.fi
flaeche	area	file	./kernel/r3dtest.fi;./kernel/user/fuib.fi;./kernel/user/wlib.fi
folge	seq	file	./kernel/fs.fi;./lib/wlan/rahmen.fi
fortschritt_aus	progress_off	global	./kernel/user/dateiop.fi
foto_datei	photo_file	global	./kernel/app/jarvisd.fi
foto_ueber_kern	photo_over_kernel	global	./kernel/app/jarvisd.fi
frage	ask	global	./lib/libc/dns.fi
frage_bauen	ask_build	global	./kernel/user/dnswt.fi
frage_stellen	ask	global	./kernel/user/taskmgr.fi
frei	free	global	./kernel/fs.fi
frei_dt	free_dt	global	./kernel/fs.fi
freier_platz	free_space	global	./kernel/modul.fi
fremdes_fenster	foreign_window	global	./kernel/user/snip.fi
freund_setzen	peer_set	global	./kernel/user/freunde.fi
frist_lesen	deadline_read	global	./kernel/user/settings.fi
fui_abgelehnt	fui_rejected	global	./kernel/user/fuib.fi
fui_gemalt	fui_painted	global	./kernel/user/fuib.fi
fui_gruende	fui_reasons	global	./kernel/user/fuib.fi
fund_neu	found_new	global	./kernel/usb.fi
funktion_lesen	func_read	global	./kernel/app/wasm.fi
fx_von_ganz	fx_from_int	global	./kernel/r3d.fi
fx_von_ganz_s	fx_from_int_s	global	./kernel/r3dsoft.fi
fx_zu_ganz	fx_to_int	global	./kernel/r3d.fi
fx_zu_ganz_s	fx_to_int_s	global	./kernel/r3dsoft.fi
ganz	int	global	./kernel/app/kjson.fi
ganz_leeren	int_clear	global	./kernel/user/speicher.fi
geben	give	global	./kernel/user/tresor.fi
gehe_zu	goto_to	global	./kernel/user/explorer.fi
geheim_lesen	secret_read	global	./kernel/app/konto.fi
geheim_oeffnen	secret_open	global	./lib/sync/kette.fi
gen_pfad	gen_path	global	./kernel/user/opk.fi
gesendet_holen	sent_get	global	./lib/wlan/pruefgeraet.fi
gleich	eq	file	./kernel/app/anbieter.fi;./kernel/app/jarvisd.fi;./kernel/app/kgegen.fi;./kernel/app/konto.fi;./kernel/ksym.fi;./kernel/user/k17.fi;./kernel/user/nidx.fi
global_lesen	global_read	global	./kernel/app/wasm.fi
gpe_block_aus	gpe_block_off	global	./kernel/hw.fi
gpu_zeile	gpu_line	global	./kernel/grafik.fi
gpu_zeilen	gpu_lines	global	./kernel/grafik.fi
grace_bereit	grace_ready	file	./kernel/gfx-aus.fi;./kernel/gfx.fi;./kernel/kgui.fi
grace_kalt	grace_cold	file	./kernel/gfx-aus.fi;./kernel/gfx.fi;./kernel/kgui.fi
graph_wert	graph_value	global	./kernel/user/wlib.fi
grenze_setzen	limit_set	global	./kernel/acpi.fi
groesse	size	file	./kernel/user/ota.fi;./kernel/zeiger.fi
groesse_at	size_at	global	./kernel/user/expmodell.fi
groesse_rekursiv	size_recursive	global	./kernel/user/dateiop.fi
groesse_von	size_from	file	./kernel/user/fas.fi;./kernel/user/korb.fi
gross_lesen	big_read	global	./kernel/user/speicher.fi
grund	reason	file	./kernel/user/host.fi;./kernel/user/viewer.fi
grund_lesen	reason_read	global	./kernel/user/settings.fi
grund_von	reason_from	global	./lib/wlan/verbinden.fi
grund_zeigen	reason_show	global	./kernel/user/dispctl.fi
gs_bereit	gs_ready	global	./kernel/sched.fi
gs_fehler	gs_error	global	./kernel/sched.fi
gs_luege_setzen	gs_lie_set	global	./kernel/sched.fi
gs_pruefen	gs_check	global	./kernel/sched.fi
gtk_finden	gtk_find	global	./lib/wlan/wpa.fi
guid_eigen	guid_own	global	./kernel/user/install.fi
h_gleich	h_eq	global	./kernel/uprog.fi
halt_sek	halt_secs	global	./kernel/kgui.fi
halten	hold	global	./kernel/r3dtest.fi
handle_fremd	handle_foreign	global	./kernel/kmain.fi
hb_leer	hb_empty	global	./kernel/kmain.fi
herz	beat	global	./kernel/fb.fi
herz_hellzahl	beat_brightnum	global	./kernel/kgui.fi
herz_leds	beat_leds	global	./kernel/usb.fi
herz_tick	beat_tick	file	./kernel/gfx-aus.fi;./kernel/gfx.fi;./kernel/kgui.fi
herz_x	beat_x	global	./kernel/fb.fi
herz_y	beat_y	global	./kernel/fb.fi
herz_zahl	beat_num	global	./kernel/kgui.fi
hex_aus	hex_out	file	./kernel/app/jarvisd.fi;./kernel/user/kbund.fi
hex_ein	hex_in	global	./kernel/user/kbund.fi
hex_lesen	hex_read	file	./kernel/app/anb_eigen.fi;./kernel/user/ota.fi
hex_wert	hex_value	global	./kernel/app/anb_eigen.fi
hoch	up	file	./kernel/hidin.fi;./kernel/user/nidx.fi
hoehe	height	file	./kernel/user/bild.fi;./kernel/user/jpeg.fi;./kernel/vektor.fi
hover_marke	hover_brand	global	./kernel/user/taskbar.fi
hover_setzen	hover_set	global	./kernel/user/qs.fi
http_bitte	http_request	global	./kernel/app/jarvisd.fi
http_rumpf_ab	http_body_from	global	./kernel/app/jarvisd.fi
huelle_lesen	envelope_read	global	./lib/sync/kette.fi
huelle_schreiben	envelope_write	global	./lib/sync/kette.fi
identitaet_setzen	identity_set	global	./lib/wlan/verbinden.fi
ie_beginn	ie_begin	global	./lib/wlan/rahmen.fi
ie_weiter	ie_next	global	./lib/wlan/rahmen.fi
im_eigenen_baum	in_own_tree	global	./kernel/user/explorer.fi
import_lesen	import_read	global	./kernel/app/wasm.fi
in_liste	in_list	global	./kernel/app/jarvisd.fi
in_sich	self_contained	global	./kernel/user/expakt.fi
index_zeile	index_line	global	./kernel/user/opk.fi
info_lesen	info_read	global	./kernel/user/korb.fi
info_schreiben	info_write	global	./kernel/user/korb.fi
info_zu_lang	info_to_lang	global	./kernel/user/appdir.fi
ip_lesen	ip_read	global	./kernel/user/settings.fi
irq_aus	irq_ack	global	./kernel/ttf.fi
ist_bild	is_image	global	./kernel/user/wlib.fi
ist_bild_pub	is_image_pub	global	./kernel/user/wlib.fi
ist_leiste	is_taskbar	global	./kernel/sysgui.fi
ist_punkt	is_point	global	./kernel/user/expmodell.fi
ist_verzeichnis	is_dir	global	./kernel/user/dateiop.fi
ix_laden	ix_load	global	./kernel/user/sync.fi
ix_schreiben	ix_write	global	./kernel/user/sync.fi
ja	yes	global	./kernel/xhci.fi
ja_ist	yes_is	global	./kernel/app/jarvisd.fi
jetzt	now	file	./kernel/app/anb_eigen.fi;./kernel/app/konto.fi;./kernel/fs.fi;./kernel/user/tresor.fi
jetzt_ms	now_ms	file	./kernel/app/jarvisd.fi;./kernel/user/login.fi
jetzt_s	now_s	global	./kernel/app/jarvisd.fi
jetzt_sekunden	now_secs	global	./kernel/app/knetz.fi
jetzt_us	now_us	global	./kernel/user/play.fi
jpeg_lesen	jpeg_read	global	./kernel/user/jpeg.fi
k_nach_t	k_to_t	global	./kernel/user/rechner.fi
kanal_dreh	swap_rb	global	./kernel/user/fuib.fi
kanal_setzen	channel_set	global	./lib/wlan/geraet.fi
kanarie_heil	canary_intact	global	./tools/haertung/kanarie.fi
kanarie_setzen	canary_set	global	./tools/haertung/kanarie.fi
kante	edge	file	./kernel/r3dsoft.fi;./kernel/vektor.fi
karte_lesen	map_read	global	./kernel/user/settings.fi
katalog_datei	catalog_file	global	./kernel/app/kmsg.fi
kb_neu	kb_new	global	./kernel/user/kbund.fi
kb_oeffnen	kb_open	global	./kernel/user/kbund.fi
kb_oeffnen_code	kb_open_code	global	./kernel/user/kbund.fi
kb_ziel	kb_target	global	./kernel/user/kbund.fi
kb_zu	kb_close	global	./kernel/user/kbund.fi
keks_wenn_kaputt	cookie_if_broken	global	./kernel/app/anb_xoffi.fi
kette_gehen	chain_walk	global	./kernel/user/ota.fi
kette_schreiben	chain_write	global	./kernel/app/kjson.fi
kgen_lesen	kgen_read	global	./kernel/user/ota.fi
kgen_schreiben	kgen_write	global	./kernel/user/ota.fi
kinder_lesen	children_read	global	./kernel/user/speicher.fi
klein	small	global	./kernel/app/knetz.fi
knopf	button	global	./kernel/hidin.fi
knopf_zaehlen	button_count	global	./kernel/hidin.fi
konf_lesen	conf_read	file	./kernel/app/jarvisd.fi;./kernel/app/konto.fi
konf_merken	conf_remember	global	./kernel/user/settings.fi
konflikt_antwort	conflict_reply	file	./kernel/user/expakt.fi;./kernel/user/explorer.fi
konflikt_pfad	conflict_path	global	./kernel/user/expakt.fi
konflikt_zeigen	conflict_show	global	./kernel/user/explorer.fi
konten_lesen	accounts_read	global	./kernel/user/settings.fi
konto_datei	account_file	global	./kernel/user/sync.fi
konto_feld	account_field	global	./kernel/user/settings.fi
konto_lesen	account_read	global	./kernel/app/kspeicher.fi
konto_neu	account_new	global	./kernel/app/kspeicher.fi
konto_setzen	account_set	global	./kernel/app/kspeicher.fi
konto_suchen	account_find	global	./kernel/app/kspeicher.fi
konto_zeigen	account_show	global	./kernel/user/settings.fi
kontrast_zeigen	contrast_show	global	./kernel/user/settings.fi
kopf	header	file	./kernel/absturz.fi;./kernel/user/install.fi
kopf_bauen	header_build	file	./kernel/user/papierkorb.fi;./kernel/user/snip.fi;./kernel/user/viewer.fi
kopf_finden	header_find	global	./kernel/app/knetz.fi
kopf_laenge	header_len	global	./lib/wlan/rahmen.fi
kopf_line	header_line	global	./kernel/xhci.fi
kopf_lokal	header_local	global	./kernel/user/zip.fi
kopf_malen	header_paint	global	./kernel/kgui.fi
kopf_schreiben	header_write	global	./kernel/user/kbund.fi
kopf_setzen	header_set	global	./kernel/kgui.fi
kopf_zeile_sagen	header_line_say	global	./kernel/kgui.fi
kopf_zentral	header_center	global	./kernel/user/zip.fi
kopiere_baum	copy_tree	global	./kernel/user/dateiop.fi
kopiere_bis_null	copy_until_null	global	./kernel/user/settings.fi
kopieren	copy	file	./kernel/modul.fi;./kernel/user/korb.fi
kopieren_merken	copy_remember	global	./kernel/user/expakt.fi
kreuz_add	cross_add	global	./kernel/vektor.fi
kreuz_punkt	cross_point	global	./kernel/wm.fi
krume_pfad	crumb_path	global	./kernel/user/exporte.fi
krume_zahl	crumb_num	global	./kernel/user/exporte.fi
kspur_sagen	ktrace_say	global	./kernel/arch/x86_64/trap.fi
kstack_wieder	kstack_again	global	./kernel/sched.fi
kstapel_hoch	kstack_up	global	./kernel/kgui.fi
kurve	curve	global	./kernel/user/taskmgr.fi
kurz	short	global	./kernel/marke.fi
kurz_n	short_n	global	./kernel/marke.fi
kurz_warten	short_wait	global	./kernel/power.fi
laden	load	file	./kernel/app/kmsg.fi;./kernel/modul.fi;./kernel/user/korb.fi;./kernel/user/viewer.fi
laenge	len	file	./kernel/fassung.fi;./kernel/user/opk.fi;./kernel/user/ota.fi
laenge_von	len_from	global	./kernel/marke.fi
lang_aus_conf	lang_off_conf	global	./kernel/app/kmsg.fi
lang_aus_datei	lang_off_file	global	./kernel/app/kmsg.fi
langsam	slow	global	./kernel/handle.fi
launcher_fenster	launcher_window	global	./kernel/user/taskbar.fi
leer	empty	global	./kernel/app/anbieter.fi
leer_empfangen	empty_recv	global	./lib/wlan/geraet.fi
leer_kanal	empty_channel	global	./lib/wlan/geraet.fi
leer_ruecken	empty_push	global	./kernel/app/anbieter.fi
leer_schluessel	empty_key	global	./lib/wlan/geraet.fi
leer_senden	empty_send	global	./lib/wlan/geraet.fi
legen	place	global	./kernel/user/tresor.fi
leinwand	canvas	global	./kernel/user/wlib.fi
leinwand_anstehend	canvas_pending	global	./kernel/user/wlib.fi
leinwand_ereignis	canvas_event	global	./kernel/user/wlib.fi
leinwand_neu	canvas_new	global	./kernel/user/wlib.fi
leinwand_neu_teil	canvas_new_part	global	./kernel/user/wlib.fi
leinwand_setzen	canvas_set	global	./kernel/user/wlib.fi
leiste_zustand	taskbar_state	global	./kernel/kgui.fi
lesen	read	file	./kernel/dispsave.fi;./kernel/user/dhcp.fi
lesen_ganz	read_int	global	./kernel/user/zip.fi
letzte_datei	last_file	global	./kernel/absturz.fi
letzte_helligkeit	last_brightness	global	./kernel/r3dsoft.fi
letzte_pruefung	last_check	global	./kernel/app/knetz.fi
letzter_fehler	last_error	global	./kernel/user/dateiop.fi
letzter_teil	last_part	global	./kernel/user/expakt.fi
lies_datei	read_file	global	./kernel/user/fas.fi
lies_feld	read_field	global	./kernel/app/kjson.fi
lies_kette	read_chain	global	./kernel/app/kjson.fi
lies_wert	read_value	global	./kernel/app/kjson.fi
lies_zahl	read_num	file	./kernel/app/kjson.fi;./kernel/user/fsrlim.fi;./kernel/user/fsrw.fi
limits_lesen	limits_read	global	./kernel/app/wasm.fi
linie	line	global	./kernel/vektor.fi
list_ein	list_in	global	./kernel/user/wlib.fi
liste	list	file	./kernel/user/fas.fi;./kernel/user/tresor.fi
liste_add	list_add	global	./kernel/user/expakt.fi
liste_at	list_at	global	./kernel/user/expakt.fi
liste_bauen	list_build	global	./kernel/user/freunde.fi
liste_dazu	list_add	global	./kernel/app/jarvisd.fi
liste_leeren	list_clear	global	./kernel/user/expakt.fi
liste_lesen	list_read	global	./kernel/app/kspeicher.fi
liste_pfad	list_path	global	./kernel/app/jarvisd.fi
liste_zahl	list_num	global	./kernel/user/expakt.fi
locale_setzen	locale_set	global	./kernel/kgui.fi
lock_frei	lock_free	global	./kernel/sys.fi
loeschen	delete	file	./kernel/ofsj.fi;./kernel/user/nidx.fi;./kernel/user/speicher.fi
loeschen_fragen	delete_ask	global	./kernel/user/explorer.fi
luecke_weg	gap_gone	global	./kernel/user/fas.fi
m_groesse	m_size	global	./kernel/user/explorer.fi
mal	draw	global	./kernel/user/fuib.fi
mal_abstand	draw_spacing	global	./kernel/user/wlib.fi
mal_ascent	draw_ascent	global	./kernel/user/wlib.fi
mal_balken	draw_bar	global	./kernel/user/wlib.fi
mal_flaeche	draw_area	global	./kernel/user/wlib.fi
mal_flaeche_an	draw_area_on	global	./kernel/user/fuib.fi
mal_kante3	draw_edge3	global	./kernel/user/wlib.fi
mal_linie	draw_line	global	./kernel/user/wlib.fi
mal_punkt	draw_point	global	./kernel/user/wlib.fi
mal_radius	draw_radius	global	./kernel/user/wlib.fi
mal_rahmen	draw_frame	global	./kernel/user/wlib.fi
mal_symbol	draw_icon	global	./kernel/user/wlib.fi
mal_tafel	draw_board	global	./kernel/user/wlib.fi
mal_text	draw_text	global	./kernel/user/wlib.fi
mal_text_w	draw_text_w	global	./kernel/user/wlib.fi
mal_trenner	draw_separator	global	./kernel/user/wlib.fi
man_hoch	man_up	global	./kernel/user/sync.fi
man_l_zeile	man_l_line	global	./kernel/user/sync.fi
man_neu_zeile	man_new_line	global	./kernel/user/sync.fi
man_runter	man_down	global	./kernel/user/sync.fi
marke_loeschen	brand_delete	global	./kernel/absturz.fi
marke_malen	brand_paint	global	./kernel/user/taskbar.fi
marke_malen_ok	brand_paint_ok	global	./kernel/user/taskbar.fi
marke_von_text	brand_from_text	global	./kernel/user/fas.fi
marke_weg	brand_gone	global	./kernel/user/absturz.fi
masse_bei_drehung	dims_at_rotation	global	./kernel/fb.fi
maus_melden	mouse_report	global	./kernel/hidin.fi
maus_taugt	mouse_works	global	./kernel/usb.fi
melde_fui	report_fui	global	./kernel/user/settings.fi
melde_zeit	report_time	global	./kernel/user/explorer.fi
meldung	message	global	./kernel/user/firun.fi
mem_anlegen	mem_create	global	./kernel/app/wasm.fi
menue_datei	menu_file	global	./kernel/user/rechner.fi
merk_pfad	remember_path	global	./kernel/user/sync.fi
merken	remember	global	./kernel/dispsave.fi
